Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2009,12,1,1.6,—,—,—,27.4,32.6,23.4,4.5,21.2
Pulau Ubin,2009,12,2,7.6,—,—,—,26.4,30.3,24.2,3.2,32.4
Pulau Ubin,2009,12,3,0,—,—,—,26.1,27.8,24.5,3.5,18.4
Pulau Ubin,2009,12,4,36.2,—,—,—,25.3,30.1,23.4,3.4,29.2
Pulau Ubin,2009,12,5,1.4,—,—,—,25.6,29.7,23.9,3.2,28.1
Pulau Ubin,2009,12,6,0,—,—,—,26.2,29.9,24,4.7,29.2
Pulau Ubin,2009,12,7,0,—,—,—,26.7,30.7,24.2,5.2,24.5
Pulau Ubin,2009,12,8,0,—,—,—,27.1,31.1,24.1,6.3,29.2
Pulau Ubin,2009,12,9,0,—,—,—,27.2,31.6,24.5,6,32.8
Pulau Ubin,2009,12,10,0,—,—,—,27.1,31.1,24,5.8,26.6
Pulau Ubin,2009,12,11,0,—,—,—,27.3,31.1,23.9,6.7,28.4
Pulau Ubin,2009,12,12,0,—,—,—,27.3,31.3,24.5,7.2,32
Pulau Ubin,2009,12,13,0,—,—,—,27.4,31.5,23.8,5.6,25.6
Pulau Ubin,2009,12,14,0,—,—,—,27.5,31.3,25.5,5.8,24.1
Pulau Ubin,2009,12,15,12.6,—,—,—,27,32.3,23.5,4,25.9
Pulau Ubin,2009,12,16,11.2,—,—,—,26.5,31.7,24.7,3.7,22.7
Pulau Ubin,2009,12,17,24.6,—,—,—,26.4,30.6,24.4,3.7,84.2
Pulau Ubin,2009,12,18,2.4,—,—,—,26.5,29.3,23.5,3.9,19.1
Pulau Ubin,2009,12,19,10.8,—,—,—,25.4,28.7,24,3.9,18.4
Pulau Ubin,2009,12,20,5.8,—,—,—,26.6,30.7,23.4,6,32.4
Pulau Ubin,2009,12,21,5.4,—,—,—,26.9,30.1,24.3,7.1,30.6
Pulau Ubin,2009,12,22,1.4,—,—,—,26.5,30.5,24.4,6.6,36.4
Pulau Ubin,2009,12,23,6,—,—,—,27.4,30.7,24.9,6.3,30.6
Pulau Ubin,2009,12,24,16.8,—,—,—,25.4,26.8,23.1,5.2,35.6
Pulau Ubin,2009,12,25,0,—,—,—,26.9,31.7,24,4.3,27.7
Pulau Ubin,2009,12,26,17,—,—,—,25.8,30.9,24.4,3.8,21.2
Pulau Ubin,2009,12,27,1.4,—,—,—,26.2,29.7,24.2,4.9,27.7
Pulau Ubin,2009,12,28,2.2,—,—,—,26.1,28.7,24.5,4,23.4
Pulau Ubin,2009,12,29,0,—,—,—,—,30.1,24.7,5.2,23.4
Pulau Ubin,2009,12,30,0,—,—,—,27.3,30.4,25,5.1,20.9
Pulau Ubin,2009,12,31,0,—,—,—,27.2,30.4,24.4,6.2,27.7
